asset_type,symbol,name,yfinance_symbol,tradingview_symbol,tradingview_prefix_status,search_text,app_include,review_note,sector,industry
ETF,CSHI,NEOS Enhanced Income 1-3 Month T-Bill ETF,CSHI,NASDAQ:CSHI,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cshi neos enhanced income 1-3 month t-bill etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSHP,iShares Enhanced Short-Term Bond Active ETF,CSHP,NASDAQ:CSHP,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cshp ishares enhanced short-term bond active etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSM,ProShares Large Cap Core Plus,CSM,NASDAQ:CSM,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,csm proshares large cap core plus etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSMD,Professionally Managed Portfolios Congress SMid Growth ETF,CSMD,NASDAQ:CSMD,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,csmd professionally managed portfolios congress smid growth etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSNR,Cohen & Steers ETF Trust Cohen & Steers Natural Resources Acti,CSNR,NASDAQ:CSNR,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,csnr cohen & steers etf trust cohen & steers natural resources acti etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSPF,Cohen & Steers ETF Trust Cohen & Steers Preferred and Income O,CSPF,NASDAQ:CSPF,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cspf cohen & steers etf trust cohen & steers preferred and income o etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSRE,Cohen & Steers ETF Trust Cohen & Steers Real Estate Active ETF,CSRE,NASDAQ:CSRE,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,csre cohen & steers etf trust cohen & steers real estate active etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSTK,Invesco Comstock Contrarian Equity ETF,CSTK,NASDAQ:CSTK,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cstk invesco comstock contrarian equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CTA,Simplify Exchange Traded Funds Simplify Managed Futures Strate,CTA,NASDAQ:CTA,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cta simplify exchange traded funds simplify managed futures strate etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CTEC,Global X ClimateTech ETF,CTEC,NASDAQ:CTEC,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,ctec global x climatetech etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CTEF,EA Series Trust Castellan Targeted Equity ETF,CTEF,NASDAQ:CTEF,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,ctef ea series trust castellan targeted equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CTEX,ProShares S&P Kensho Cleantech ETF,CTEX,NASDAQ:CTEX,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,ctex proshares s&p kensho cleantech etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CTIF,EA Series Trust Castellan Targeted Income ETF,CTIF,NASDAQ:CTIF,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,ctif ea series trust castellan targeted income etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CURE,Direxion Daily Healthcare Bull 3X ETF,CURE,NASDAQ:CURE,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cure direxion daily healthcare bull 3x etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CUSD,CrossingBridge Ultra-Short Duration ETF,CUSD,NASDAQ:CUSD,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cusd crossingbridge ultra-short duration etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CUT,Invesco MSCI Global Timber ETF,CUT,NASDAQ:CUT,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cut invesco msci global timber etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVAR,ETF Opportunities Trust Cultivar ETF,CVAR,NASDAQ:CVAR,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvar etf opportunities trust cultivar etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVIE,Morgan Stanley ETF Trust Calvert International Responsible Ind,CVIE,NASDAQ:CVIE,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvie morgan stanley etf trust calvert international responsible ind etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVLC,Morgan Stanley ETF Trust Calvert US Large-Cap Core Responsible,CVLC,NASDAQ:CVLC,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvlc morgan stanley etf trust calvert us large-cap core responsible etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVMC,Morgan Stanley ETF Trust Calvert US Mid-Cap Core Responsible I,CVMC,NASDAQ:CVMC,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvmc morgan stanley etf trust calvert us mid-cap core responsible i etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVNX,Defiance Daily Target 2X Long CVNA ETF,CVNX,NASDAQ:CVNX,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvnx defiance daily target 2x long cvna etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVNY,Tidal Trust II YieldMax CVNA Option Income Strategy ETF,CVNY,NASDAQ:CVNY,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvny tidal trust ii yieldmax cvna option income strategy etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVRD,Madison ETFs Trust Madison Covered Call ETF,CVRD,NASDAQ:CVRD,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvrd madison etfs trust madison covered call etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVRT,Calamos ETF Trust Calamos Convertible Equity Alternative ETF,CVRT,NASDAQ:CVRT,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvrt calamos etf trust calamos convertible equity alternative etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVSB,Morgan Stanley ETF Trust Calvert Ultra-Short Investment Grade,CVSB,NASDAQ:CVSB,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvsb morgan stanley etf trust calvert ultra-short investment grade etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CVY,Invesco Zacks Multi-Asset Income ETF,CVY,NASDAQ:CVY,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cvy invesco zacks multi-asset income etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CWB,State Street SPDR Bloomberg Convertible Securities ETF,CWB,NASDAQ:CWB,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cwb state street spdr bloomberg convertible securities etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CWEB,Direxion Daily CSI China Internet Index Bull 2X ETF,CWEB,NASDAQ:CWEB,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cweb direxion daily csi china internet index bull 2x etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CWI,State Street SPDR MSCI ACWI ex-US ETF,CWI,NASDAQ:CWI,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cwi state street spdr msci acwi ex-us etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CWS,AdvisorShares Focused Equity ETF,CWS,NASDAQ:CWS,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cws advisorshares focused equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CWVX,Tradr 2X Long CRWV Daily ETF,CWVX,NASDAQ:CWVX,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cwvx tradr 2x long crwv daily etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CXRN,Listed Funds Trust Teucrium 2x Daily Corn ETF,CXRN,NASDAQ:CXRN,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cxrn listed funds trust teucrium 2x daily corn etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CXSE,WisdomTree China ex-State-Owned Enterprises Fund,CXSE,NASDAQ:CXSE,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cxse wisdomtree china ex-state-owned enterprises fund etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CZA,Invesco Zacks Mid-Cap ETF,CZA,NASDAQ:CZA,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cza invesco zacks mid-cap etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CZAR,Themes Natural Monopoly ETF,CZAR,NASDAQ:CZAR,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,czar themes natural monopoly etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DABS,DoubleLine ETF Trust DoubleLine Asset-Backed Securities ETF,DABS,NASDAQ:DABS,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dabs doubleline etf trust doubleline asset-backed securities etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DADS,Digital Asset Debt Strategy ETF,DADS,NASDAQ:DADS,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dads digital asset debt strategy etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DAK,Dakota Active Equity ETF,DAK,NASDAQ:DAK,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dak dakota active equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DALI,First Trust Dorsey Wright DALI Equity ETF,DALI,NASDAQ:DALI,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dali first trust dorsey wright dali equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DAPP,VanEck Digital Transformation ETF,DAPP,NASDAQ:DAPP,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dapp vaneck digital transformation etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DAPR,FT Vest U.S. Equity Deep Buffer ETF - April,DAPR,NASDAQ:DAPR,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dapr ft vest u.s. equity deep buffer etf - april etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DARP,Grizzle Growth ETF,DARP,NASDAQ:DARP,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,darp grizzle growth etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DAT,ProShares Big Data Refiners ETF,DAT,NASDAQ:DAT,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dat proshares big data refiners etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DAUG,FT Vest U.S. Equity Deep Buffer ETF - August,DAUG,NASDAQ:DAUG,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,daug ft vest u.s. equity deep buffer etf - august etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DAX,Global X DAX Germany ETF,DAX,NASDAQ:DAX,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dax global x dax germany etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBA,Invesco DB Agriculture Fund,DBA,NASDAQ:DBA,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dba invesco db agriculture fund etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBAW,Xtrackers MSCI All World ex US Hedged Equity ETF,DBAW,NASDAQ:DBAW,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbaw xtrackers msci all world ex us hedged equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBB,Invesco DB Base Metals Fund,DBB,NASDAQ:DBB,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbb invesco db base metals fund etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBC,Invesco DB Commodity Index Tracking Fund,DBC,NASDAQ:DBC,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbc invesco db commodity index tracking fund etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBE,Invesco DB Energy Fund,DBE,NASDAQ:DBE,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbe invesco db energy fund etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,DBEF,NASDAQ:DBEF,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbef xtrackers msci eafe hedged equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBEM,Xtrackers MSCI Emerging Markets Hedged Equity ETF,DBEM,NASDAQ:DBEM,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbem xtrackers msci emerging markets hedged equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBEU,Xtrackers MSCI Europe Hedged Equity ETF,DBEU,NASDAQ:DBEU,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbeu xtrackers msci europe hedged equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBEZ,Xtrackers MSCI Eurozone Hedged Equity ETF,DBEZ,NASDAQ:DBEZ,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbez xtrackers msci eurozone hedged equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBJP,Xtrackers MSCI Japan Hedged Equity ETF,DBJP,NASDAQ:DBJP,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbjp xtrackers msci japan hedged equity etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBMF,iMGP DBi Managed Futures Strategy ETF,DBMF,NASDAQ:DBMF,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbmf imgp dbi managed futures strategy etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBND,DoubleLine Opportunistic Core Bond ETF,DBND,NASDAQ:DBND,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbnd doubleline opportunistic core bond etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBO,Invesco DB Oil Fund,DBO,NASDAQ:DBO,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbo invesco db oil fund etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DBP,Invesco DB Precious Metals Fund,DBP,NASDAQ:DBP,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dbp invesco db precious metals fund etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,DCMT,DoubleLine ETF Trust DoubleLine Commodity Strategy ETF,DCMT,NASDAQ:DCMT,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,dcmt doubleline etf trust doubleline commodity strategy etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
